method,prompt_len,max_new_tokens,prefill_ms,decode_ms_total,decode_steps,decode_ms_per_tok,batch_size,hidden_size,num_layers,num_heads,dtype,device,repeat
baseline,8,256,5.672959804534912,703.8943011760712,255,2.7603698085336124,1,256,4,8,torch.float32,cuda,0
kv,8,256,2.845695972442627,761.3112649917603,255,2.9855343725167067,1,256,4,8,torch.float32,cuda,0
baseline,8,256,2.820096015930176,697.584673166275,255,2.73562616927951,1,256,4,8,torch.float32,cuda,1
kv,8,256,2.8487679958343506,755.9352614879608,255,2.9644520058351405,1,256,4,8,torch.float32,cuda,1
baseline,8,256,2.6818559169769287,694.000483751297,255,2.72157052451489,1,256,4,8,torch.float32,cuda,2
kv,8,256,2.8272640705108643,753.5987513065338,255,2.9552892208099366,1,256,4,8,torch.float32,cuda,2
baseline,8,256,2.6849279403686523,695.5550441741943,255,2.7276668398988013,1,256,4,8,torch.float32,cuda,3
kv,8,256,2.781183958053589,753.8520629405975,255,2.956282599767049,1,256,4,8,torch.float32,cuda,3
baseline,8,256,2.689055919647217,700.6056327819824,255,2.7474730697332643,1,256,4,8,torch.float32,cuda,4
kv,8,256,2.810879945755005,757.332352399826,255,2.969930793724808,1,256,4,8,torch.float32,cuda,4
baseline,32,256,2.8150079250335693,699.0243518352509,255,2.7412719679813757,1,256,4,8,torch.float32,cuda,0
kv,32,256,2.9470720291137695,755.2319021224976,255,2.961693733813716,1,256,4,8,torch.float32,cuda,0
baseline,32,256,2.80678391456604,694.9546246528625,255,2.7253122535406376,1,256,4,8,torch.float32,cuda,1
kv,32,256,2.9286398887634277,756.4066219329834,255,2.9663004781685625,1,256,4,8,torch.float32,cuda,1
baseline,32,256,2.820096015930176,694.778913974762,255,2.72462319205789,1,256,4,8,torch.float32,cuda,2
kv,32,256,2.919424057006836,756.7132472991943,255,2.9675029305850757,1,256,4,8,torch.float32,cuda,2
baseline,32,256,2.6746881008148193,697.0256998538971,255,2.7334341170741063,1,256,4,8,torch.float32,cuda,3
kv,32,256,2.924544095993042,753.500542640686,255,2.954904088787004,1,256,4,8,torch.float32,cuda,3
baseline,32,256,2.6368000507354736,690.7800676822662,255,2.7089414418912403,1,256,4,8,torch.float32,cuda,4
kv,32,256,2.8375039100646973,756.9095981121063,255,2.968272933772966,1,256,4,8,torch.float32,cuda,4
baseline,64,256,2.7904000282287598,693.8880972862244,255,2.721129793279311,1,256,4,8,torch.float32,cuda,0
kv,64,256,2.8938241004943848,755.6703045368195,255,2.9634129589679192,1,256,4,8,torch.float32,cuda,0
baseline,64,256,2.6552319526672363,690.9649937152863,255,2.7096666420207303,1,256,4,8,torch.float32,cuda,1
kv,64,256,2.910207986831665,755.9916467666626,255,2.9646731245751474,1,256,4,8,torch.float32,cuda,1
baseline,64,256,2.6204159259796143,685.8373770713806,255,2.6895583414563946,1,256,4,8,torch.float32,cuda,2
kv,64,256,2.909183979034424,755.2888622283936,255,2.961917106778014,1,256,4,8,torch.float32,cuda,2
baseline,64,256,2.792448043823242,689.9575726985931,255,2.705715971367032,1,256,4,8,torch.float32,cuda,3
kv,64,256,2.9122560024261475,757.9920318126678,255,2.972517771814384,1,256,4,8,torch.float32,cuda,3
baseline,64,256,2.770944118499756,694.1215713024139,255,2.722045377656525,1,256,4,8,torch.float32,cuda,4
kv,64,256,2.924544095993042,755.6492476463318,255,2.963330382926791,1,256,4,8,torch.float32,cuda,4
baseline,128,256,2.673664093017578,698.534209728241,255,2.739349842071533,1,256,4,8,torch.float32,cuda,0
kv,128,256,2.9378559589385986,753.9547209739685,255,2.9566851802900724,1,256,4,8,torch.float32,cuda,0
baseline,128,256,2.817023992538452,688.9406085014343,255,2.701727876476213,1,256,4,8,torch.float32,cuda,1
kv,128,256,2.9388480186462402,760.4191362857819,255,2.9820358285716937,1,256,4,8,torch.float32,cuda,1
baseline,128,256,2.8334081172943115,689.53005027771,255,2.7040394128537644,1,256,4,8,torch.float32,cuda,2
kv,128,256,3.0064001083374023,757.7323796749115,255,2.9714995281369077,1,256,4,8,torch.float32,cuda,2
baseline,128,256,2.8426239490509033,689.2145285606384,255,2.702802072786817,1,256,4,8,torch.float32,cuda,3
kv,128,256,3.1303679943084717,753.0741097927094,255,2.953231803108664,1,256,4,8,torch.float32,cuda,3
baseline,128,256,2.8078079223632812,680.2544682025909,255,2.667664581186631,1,256,4,8,torch.float32,cuda,4
kv,128,256,2.949120044708252,756.8031976222992,255,2.967855676950193,1,256,4,8,torch.float32,cuda,4
baseline,512,256,2.792448043823242,722.5310053825378,255,2.8334549230687758,1,256,4,8,torch.float32,cuda,0
kv,512,256,2.7299840450286865,750.8892178535461,255,2.944663599425671,1,256,4,8,torch.float32,cuda,0
baseline,512,256,2.6101760864257812,704.6191990375519,255,2.7632125452453016,1,256,4,8,torch.float32,cuda,1
kv,512,256,2.703360080718994,755.5205430984497,255,2.9628256592096065,1,256,4,8,torch.float32,cuda,1
baseline,512,256,2.6941440105438232,711.2447688579559,255,2.789195171991984,1,256,4,8,torch.float32,cuda,2
kv,512,256,2.7146239280700684,738.0018565654755,255,2.8941249277077468,1,256,4,8,torch.float32,cuda,2
baseline,512,256,2.7392001152038574,707.8457314968109,255,2.775865613712984,1,256,4,8,torch.float32,cuda,3
kv,512,256,2.751487970352173,735.6587193012238,255,2.884936154122446,1,256,4,8,torch.float32,cuda,3
baseline,512,256,2.6992640495300293,709.5200321674347,255,2.7824314986958223,1,256,4,8,torch.float32,cuda,4
kv,512,256,2.7248640060424805,738.5560956001282,255,2.89629841411815,1,256,4,8,torch.float32,cuda,4
baseline,1024,256,4.86195182800293,1338.402464389801,255,5.248637115254121,1,256,4,8,torch.float32,cuda,0
kv,1024,256,4.534272193908691,750.4435498714447,255,2.9429158818488026,1,256,4,8,torch.float32,cuda,0
baseline,1024,256,4.502528190612793,1331.7288312911987,255,5.2224660050635245,1,256,4,8,torch.float32,cuda,1
kv,1024,256,4.529151916503906,753.6651184558868,255,2.955549484140733,1,256,4,8,torch.float32,cuda,1
baseline,1024,256,4.485119819641113,1331.7463011741638,255,5.222534514408485,1,256,4,8,torch.float32,cuda,2
kv,1024,256,4.528128147125244,747.7951965332031,255,2.9325301824831493,1,256,4,8,torch.float32,cuda,2
baseline,1024,256,4.5055999755859375,1331.2375054359436,255,5.220539237003701,1,256,4,8,torch.float32,cuda,3
kv,1024,256,4.524032115936279,747.0062687397003,255,2.929436347998825,1,256,4,8,torch.float32,cuda,3
baseline,1024,256,4.50867223739624,1332.8931846618652,255,5.227032096713197,1,256,4,8,torch.float32,cuda,4
kv,1024,256,4.5352959632873535,753.453536272049,255,2.9547197500864666,1,256,4,8,torch.float32,cuda,4
